				VRZ	VRZ_BY	VRZ	1000	0			0	0	0																										HB		0	BAB	BAB-km												DZS	Adressen		Inselbus		Lokalbus	EAK	UZ 				Prinzip	Steuerung								der SST in															Rechts	Hoch	Höhe (ü. NN)	Koordinaten	nur bei Einbiegern			nur bei Abb.	zwischen-/ bei-As	und-AS	
				UZ	UZ_BY	UZ	1000	1			201	1																											HB		0		von	bis	Topographie	Bezeichnung	Location	Dist.	XHI	HI	LO 	IP-Adresse SM	Subnetzmaske	Port-Nr.(IP)	Zst.Nr.	FG	DE-Kanal	Port	Slave/SM	Slave	Kanal	ID	intern	Version	Typ	Anzeige		Bemerkungen 1	Bemerkungen 2	Bemerkungen 3	Typ	Bit	Projekt	Hers.	Fahrtrichtung										WVZ-Semantik (nur für PW)								neu 03/2015	von Richtung	von Str. Nr.	in Richtung	Str. in Richtg.			
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	636,720		nördl. AD Schweinfurt/ Werneck	A 007 A 636,7	12292	54	30	4	36					1	2	205	3	0	2	028	7	TLS97				1. ÜFS FR Nord/Ost					NBA N-SW	13	Ulm	MQ 2.1, 2.2	Messschleife	A636,7			A007 A636,7	636,714						Nord/ Ost	UEFS1	10,068672987	50,021643790	281,608		Würzburg		Fulda		99 Dreieck Schweinfurt/ Werneck (A70(2))	AS 98 Schweinfurt/ Niederwerrn (B303)	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	636,720		nördl. AD Schweinfurt/ Werneck	A 007 A 636,7	12292	54	30	4	36					1	33	205	3	0	3	028	7	TLS97				HFB FR Süd/West					NBA N-SW	13	Ulm	MQ 33.1, 33.2	Messschleife	A636,7			A007 A636,7	636,714						Süd/ West	HFS	10,068309658	50,021707801	281,542		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	636,720		nördl. AD Schweinfurt/ Werneck	A 007 A 636,7	12292	54	30	4	36					1	34	205	3	0	4	028	7	TLS97				1. ÜFS FR Süd/West					NBA N-SW	13	Ulm	MQ 34.1, 34.2	Messschleife	A636,7			A007 A636,7	636,714						Süd/ West	UEFS1	10,068309658	50,021707801	281,542		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	636,720		nördl. AD Schweinfurt/ Werneck	A 007 A 636,7	12292	54	30	4	36					6	1	205	3	0	1	028	7	TLS97				Tür zu / auf			48	0	NBA N-SW	13	Ulm	SS A007 A636,7	Türkontakt	A636,7			A007 A636,7	636,714						Süd/ West	Rechts	10,068230244	50,021722543	279,502		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	636,720		nördl. AD Schweinfurt/ Werneck	A 007 A 636,7	12292	54	30	4	36					6	2	205	3	0	2	028	7	TLS97				Heizung aus / ein			52	1	NBA N-SW	13	Ulm	SS A007 A636,7	Heizung	A636,7			A007 A636,7	636,714						Süd/ West	Rechts	10,068230244	50,021722543	279,502		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	637,302		AS Schweinfurt-Niederwerrn - 1200m	A 007 A 637,3	12292	59	30	4	3B					4	163	205	4	33	1	028	7	TLS97				Prismenwender Antrieb oberer Umlenkungspfeil oben	PW	Motor 1			NBA N-SW	10	Würzburg	Prisma (VWW1)	Prismenwender	A637,3			A007A637,3	637,341						Süd/ West	Rechts	10,066745032	50,016142759	275,765		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	637,302		AS Schweinfurt-Niederwerrn - 1200m	A 007 A 637,3	12292	59	30	4	3B					4	165	205	4	33	2	028	7	TLS97				Prismenwender Antrieb oberer Umlenkungspfeil unten	PW	Motor 2			NBA N-SW	10	Würzburg	Prisma (VWW1)	Prismenwender	A637,3			A007A637,3	637,341						Süd/ West	Rechts	10,066745032	50,016142759	275,765		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	637,302		AS Schweinfurt-Niederwerrn - 1200m	A 007 A 637,3	12292	59	30	4	3B					4	167	205	4	33	3	028	7	TLS97				Prismenwender Antrieb Zeile 1 (oben)	PW	Motor 3			NBA N-SW	10	Würzburg	Prisma (VWW1)	Prismenwender	A637,3			A007A637,3	637,341						Süd/ West	Rechts	10,066745032	50,016142759	275,765		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	637,302		AS Schweinfurt-Niederwerrn - 1200m	A 007 A 637,3	12292	59	30	4	3B					4	169	205	4	33	4	028	7	TLS97				Prismenwender Antrieb unterer Umlenkungspfeil links	PW	Motor 4			NBA N-SW	10	Würzburg	Prisma (VWW1)	Prismenwender	A637,3			A007A637,3	637,341						Süd/ West	Rechts	10,066745032	50,016142759	275,765		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	637,302		AS Schweinfurt-Niederwerrn - 1200m	A 007 A 637,3	12292	59	30	4	3B					4	171	205	4	33	5	028	7	TLS97				Prismenwender Antrieb unterer Umlenkungspfeil rechts	PW	Motor 5			NBA N-SW	10	Würzburg	Prisma (VWW1)	Prismenwender	A637,3			A007A637,3	637,341						Süd/ West	Rechts	10,066745032	50,016142759	275,765		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
