NewId;OldId;DE;LOD;DIST;KontenNr
wzg.wzg_b2n_006425_mch_dlz2_gv_42.m.de;;42;848;173;217261
aq.aq92-030-deg.m.de;;0;35960;254;9206014
wzg.wzg99-250-sbg_c3_107.m.de;;107;38706;131;9908867
wzg.wzg9-781d-mch_cl1_193.m.de;WWQ_9.781d;193;3579;116;916340
wzg.aqq91_sbg_c2_74.m.de;;74;3153;216;807384
wzg.wzg92-550-mch_b1_97.m.de;;97;36002;43;9216555
wzg.wzg_9_479450_mch_c1_105.m.de;WZG_AQ_9_479450_Mch_105;105;3584;28;917532
wzg.wzg_99_25600_stg_wta2_2.m.de;;2;38702;184;9907896
wzg.wzg99-830-stg_a1_1.m.de;;1;38739;236;9917420
wzg.wzg_99_25130_stg_pw5_129.m.de;;129;38702;150;9907862
wzg.wzg_99_9800_sbg_c1_105.m.de;;105;38698;36;9906724
wzg.wzg_99_3674_sbg_dlz2_9.m.de;;9;38735;112;9916272
wzg.wzg_99_26020_sbg_b4_100.m.de;;100;38741;229;9917925
aq.aq_96_159560_lin.m.de;;0;37576;234;9619690
wzg.wzg_99_25377_sbg_b1_97.m.de;;97;38741;183;9917879
aq.aq_96_149480_lin.m.de;;0;37576;1;9619457
wzg.wzg_b2n_005952_mch_dlz1_gv_41.m.de;;41;848;166;217254
wzg.wzg_8_8010_mch_wta2_2.m.de;;2;3149;127;806271
wzg.hs_96_147045_lin_hs1_162.m.de;;162;37575;201;9619401
wzg.wzg_99_18185_stg_w3_227.m.de;WWQ_99.X2_227;227;38739;165;9917349
wzg.wzg99-250-sbg_c1_105.m.de;;105;38706;131;9908867
wzg.wzg_96_155360_lin_c1_105.m.de;;105;37576;137;9619593
wzg.aqq207_mch_a2_34.m.de;;34;3198;222;818910
wzg.cluster_aq_99_ak8_700_uf_193.m.de;;193;38697;57;9906489
aq.aqaq204-mch.m.de;;0;36781;251;9416187
wzg.wzg99-560-stg_c2_74.m.de;;74;38747;89;9919321
wzg.cluster_aq9-783-mch_193.m.de;AQ_AQ9_783_Mch_193;193;35669;222;9131486
wzg.wzg9-135-nbg_b1_66.m.de;WZG_AQ9_135_Nbg_66;66;35279;126;9031550
wzg.wzg_9_502505_nbg_a2_2.m.de;WZG_AQ_9_502505_Nbg_2;2;3549;113;908657
wzg.aqq259_sbg_a2_2.m.de;;2;3162;162;809634
wzg.wzg_99_26020_sbg_a4_36.m.de;;36;38741;229;9917925
wzg.wzg_96_as33_0160_tz_d1_39.m.de;;39;37562;132;9616004
wzg.cluster_aq_99_2700_sbg_194.m.de;;194;38735;38;9916198
wzg.wzg_96_155360_lin_b2_98.m.de;;98;37576;137;9619593
wzg.wzg99-250-sbg_w1_38.m.de;;38;38706;131;9908867
wzg.wzg_9_481060_mch_a1_33.m.de;WZG_AQ_9_481060_Mch_33;33;3584;106;917610
aq.aq99-712-stg.m.de;;0;38744;223;9918687
wzg.wzg9-350-nbg_b1_65.m.de;WZG_AQ9_350_Nbg_65;65;35277;100;9031012
wzg.cluster_aq99-079b-r-sbg_193.m.de;;193;38702;66;9907778
wzg.wzg99-560-stg_a1_1.m.de;;1;38747;89;9919321
wzg.wzg_96_146145_lin_b1_97.m.de;;97;37575;178;9619378
wzg.wzg_96_162645_mch_pw10_10.m.de;;10;37524;186;9606330
wzg.wzg_96_154790_lin_z131_b_r_161.m.de;;161;37576;124;9619580
wzg.wzg_b2n_007758_gap_lsa2_166.m.de;;166;809;172;207276
wzg.cluster_aq_a7_962_044_fue_193.m.de;;193;2812;61;719933
wzg.cluster_aqaq203-mch_195.m.de;;195;36782;19;9416211
wzg.wzg_b2n_007815_mch_dlz2_18.m.de;;18;848;197;217285
wzg.aqq27_sbg_c1_74.m.de;;74;3152;173;807085
wzg.wzg99-180-sbg_w5_37.m.de;AQ99-180-Sbg_37;37;38705;28;9908508
wzg.wzg_9_498030_mch_c3_107.m.de;WZG_AQ_9_498030_Mch_107;107;3587;164;918436
wzg.wzg_9_488800_mch_dlz1_41.m.de;WZG_AQ_9_488800_Mch_41;41;3585;227;917987
wzg.cluster_aq_99a_104300_stg_195.m.de;;195;38737;39;9916711
aq.aq9-730-mch.m.de;;0;35669;7;9131271
wzg.wzg_96_160362_lin_lsa2_41.m.de;;41;37576;252;9619708
wzg.cluster_aq99-070-sbg_193.m.de;;193;38701;203;9907659
wzg.wzg_b2n_006337_mch_b2_136.m.de;;136;848;173;217261
wzg.aqq207_mch_c1_105.m.de;;105;3198;222;818910
wzg.wzg92-120-deg_b1_65.m.de;;65;35962;124;9206396
wzg.aqq48_sbg_c2_73.m.de;;73;3153;36;807204
wzg.wzg_99a_101408_stg_b1_65.m.de;;65;38709;135;9909639
wzg.wzg_b2n_008848_mch_b2_134.m.de;;134;848;208;217296
wzg.wzg_9_503930_nbg_wvlt1_131.m.de;WZG_AQ_9_503930_Nbg_131;131;3549;182;908726
wzg.wzgzfr02-pas_w2_2.m.de;;2;36742;170;9406122
wzg.wzg_96_162645_mch_pw4_4.m.de;;4;37524;186;9606330
wzg.wzg_8_8700_stg_a1_33.m.de;;33;3145;40;805160
wzg.wzg92-060-deg_a1_1.m.de;;1;35961;151;9206167
wzg.wzg99-062-sbg_w13_46.m.de;WWQ_99062_46;46;38701;127;9907583
aq.aq_9_498030_mch.m.de;;0;3587;164;918436
wzg.wzg_96_139135_mch_b1_65.m.de;;65;37575;16;9619216
wzg.aq_a7_959_720_ulm_a1_1.m.de;;1;2772;237;709869
wzg.wzg99-070-sbg_c2_106.m.de;;106;38701;203;9907659
wzg.wzg_9_akmno_0720_ps_a1_167.m.de;;167;3553;126;909694
wzg.wzg_9_510320_mch_b3_99.m.de;WZG_AQ_9_510320_Mch_99;99;3589;251;919035
wzg.wzg_96_146377_mch_a2_130.m.de;;130;37575;186;9619386
wzg.wzg92-550-mch_c2_106.m.de;;106;36002;43;9216555
aq.aq_a7_960_120_ulm.m.de;;0;2772;249;709881
