VERSIONNR;LOCATIONCODE;TYPE;SUBTYPE;ROADNUMBER;ROADNAME;FIRST_NAME;SECOND_NAME;ADMIN_AREA;AREA_REFERENCE;LINEAR_REFERENCE;NEGATIVE_OFFSET;POSITIVE_OFFSET;INTERSECTIONCODE;LATITUDE;LONGITUDE;URBAN;IN_POSITIVE;OUT_POSITIVE;IN_NEGATIVE;OUT_NEGATIVE;PRESENT_POSITIVE;PRESENT_NEGATIVE
20.0;35062;A10;0;;;Mömbris;;;00321;;;;;;;;;;;;;;
20.0;2473;A10;0;;;Stockstadt a. Main;;;00321;;;;;;;;;;;;;;
20.0;31534;A10;0;;;Rothenbuch;;;00321;;;;;;;;;;;;;;
20.0;60420;A10;0;;;Waldaschaff;;;00321;;;;;;;;;;;;;;
20.0;31884;A10;0;;;Schöllkrippen;;;00321;;;;;;;;;;;;;;
20.0;60417;A10;0;;;Sailauf;;;00321;;;;;;;;;;;;;;
20.0;36069;A10;0;;;Geiselbach;;;00321;;;;;;;;;;;;;;
20.0;1910;A10;0;;;Mespelbrunn;;;00321;;;;;;;;;;;;;;
20.0;1768;A10;0;;;Laufach;;;00321;;;;;;;;;;;;;;
20.0;1629;A10;0;;;Karlstein a. Main;;;00321;;;;;;;;;;;;;;
20.0;35074;A10;0;;;Wiesen;;;00321;;;;;;;;;;;;;;
20.0;31695;A10;0;;;Alzenau i. UFr.;;;00321;;;;;;;;;;;;;;
20.0;6043;A6;1;;;Rhön;;;00303;;;;;;;;;;;;;;
20.0;454;A9;1;;;Haßberge;;;00303;;;;;;;;;;;;;;
20.0;7877;A10;0;;;Oberaurach;;;00454;;;;;;;;;;;;;;
20.0;31264;A10;0;;;Riedbach;;;00454;;;;;;;;;;;;;;
20.0;31713;A10;0;;;Königsberg i. Bay.;;;00454;;;;;;;;;;;;;;
20.0;1461;A10;0;;;Haßfurt;;;00454;;;;;;;;;;;;;;
20.0;7879;A10;0;;;Rauhenebrach;;;00454;;;;;;;;;;;;;;
20.0;2527;A10;0;;;Theres;;;00454;;;;;;;;;;;;;;
20.0;13431;A10;0;;;Untermerzbach;;;00454;;;;;;;;;;;;;;
20.0;3882;A10;0;;;Hofheim i. UFr.;;;00454;;;;;;;;;;;;;;
20.0;31919;A10;0;;;Knetzgau;;;00454;;;;;;;;;;;;;;
20.0;60847;P5;8;;A70 Bamberg-Schweinfurt;Knetzgau;;;31919;;;;;49,9814;10,5551;1;0;0;0;0;0;0;
20.0;35286;A10;0;;;Pfarrweisach;;;00454;;;;;;;;;;;;;;
20.0;7609;A10;0;;;Rentweinsdorf;;;00454;;;;;;;;;;;;;;
20.0;1174;A10;0;;;Eltmann;;;00454;;;;;;;;;;;;;;
20.0;2763;A10;0;;;Zeil a. Main;;;00454;;;;;;;;;;;;;;
