AB_EAID4Vergleich	BAB	FAHRTRICHTUNG	BABKM	TYP	ID	NAME	LOC	DIST	FG	DE	PORT	SLAVE	EAK	EA	KOMMENTAR	TLSTYP	EAID	HERSTELLER	IFACEKEY	MAKRO	FAHRSTREIFEN	WZGTYP	LATITUDE	LONGITUDE	AB_ID	AB_4ID	AB_ROUTE	AB_ANZEIGEPRINZIP	AB_STEUERUNG	AB_ZS	AB_FAHRTRICHTUNG	AB_TLSTYP	AB_FAHRBAHNBREITE	AB_AQTYP	AB_ASPICT	AB_ASFLIP	AB_ENDE	Quelldatei	Tabellenblatt	Status	CSV-Filter	a	b	c	d	e	f	g	h	i	j	k	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
																																												FS-Bezug	FS-Bezug	WVZ-Typ	Anschluss-Nr.		Beschriftung    für BuV Oberfläche	Fa.-Ri    (N,S,O,W)	WGS 84 (rechter FB-Rand)						Logische Adressen			Physikalische Adresse							
598452994048	A9	S	527,481			0	35670	148					0	0				6													S/W							Cp_A9Sued_DeKonfig_2016-01-22.xls										6																			
591856402432	A9	N	514,000	SS	SST9_350	SST9-350	35277	100			200	5						6					48.3057	11.6276	SST9_350						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Mch-Nbg	514000	SST	SST9-350	9031012,89CD64			200	5						
591856402882	A9	N	514,000		MQ9_350_Nbg_H	MQ9-350-Nbg_H	35277	100	1	194	200	5	32		Radarsensoren/DZ			6							MQ9_350_Nbg_H						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Mch-Nbg	514000	MQx	MQ9-350-Nbg_H								Radarsensoren/DZ			
591856402689	A9	N	514,000		MQ9_350_Nbg_H	MQ9-350-Nbg_H	35277	100	1	1	200	5	32	1				6							MQ9_350_Nbg_H						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6							DET	DET9-350-Nbg_H1		1	1			32	1				
591856402690	A9	N	514,000		MQ9_350_Nbg_H	MQ9-350-Nbg_H	35277	100	1	2	200	5	32	2				6							MQ9_350_Nbg_H						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6							DET	DET9-350-Nbg_H2		1	2			32	2				
591856402691	A9	N	514,000		MQ9_350_Nbg_H	MQ9-350-Nbg_H	35277	100	1	3	200	5	32	3				6							MQ9_350_Nbg_H						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6							DET	DET9-350-Nbg_H3		1	3			32	3				
591856402884	A9	N	514,000		MQ9_350_Nbg_P	MQ9-350-Nbg_P	35277	100	1	196	200	5	40		Radarsensoren/DZ			6							MQ9_350_Nbg_P						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Mch-Nbg	514000	MQx	MQ9-350-Nbg_P								Radarsensoren/DZ			
591856402753	A9	N	514,000		MQ9_350_Nbg_P	MQ9-350-Nbg_P	35277	100	1	65	200	5	40	1				6							MQ9_350_Nbg_P						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6							DET	DET9-350-Nbg_P1		1	65			40	1				
591856402754	A9	N	514,000		MQ9_350_Nbg_P	MQ9-350-Nbg_P	35277	100	1	66	200	5	40	2				6							MQ9_350_Nbg_P						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6							DET	DET9-350-Nbg_P2		1	66			40	2				
591856403650	A9	N	514,000	AQ	AQ9_350_Nbg	AQ9-350-Nbg	35277	100	4	194	200	5	33	0				6					48.3057	11.6276	AQ9_350_Nbg_194	194					N/O	194		3sp_A9FB_NO				Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Mch-Nbg	514000	AQx	AQ9-350-Nbg							0				
591856403457	A9	N	514,000	AQ	AQ9_350_Nbg	AQ9-350-Nbg	35277	100	4	1	200	5	33	1				6		AB	11	A	48.3057	11.6276	AQ9_350_Nbg_194			b	2	22,24,26,28,30,33,42,44,46,48,50,54,111,113:82	N/O	194		3sp_A9FB_NO				Cp_A9Sued_DeKonfig_2016-01-22.xls				b	2	A1	A1	A		6							WZGx	WZG9-350-Nbg_A1		4	1			33	1		22,24,26,28,30,33,42,44,46,48,50,54,111,113:82		
591856403458	A9	N	514,000	AQ	AQ9_350_Nbg	AQ9-350-Nbg	35277	100	4	2	200	5	33	2				6		AB	13	A	48.3057	11.6276	AQ9_350_Nbg_194			b	2	22,24,26,28,30,33,42,44,46,48,50,54,111,113:82,114:82	N/O	194		3sp_A9FB_NO				Cp_A9Sued_DeKonfig_2016-01-22.xls				b	2	A2	A2	A		6							WZGx	WZG9-350-Nbg_A2		4	2			33	2		22,24,26,28,30,33,42,44,46,48,50,54,111,113:82,114:82		
591856403459	A9	N	514,000	AQ	AQ9_350_Nbg	AQ9-350-Nbg	35277	100	4	3	200	5	33	3				6		AB	15	A	48.3057	11.6276	AQ9_350_Nbg_194			b	2	22,24,26,28,30,33,42,44,46,48,50,54,111,114:82	N/O	194		3sp_A9FB_NO				Cp_A9Sued_DeKonfig_2016-01-22.xls				b	2	A3	A3	A		6							WZGx	WZG9-350-Nbg_A3		4	3			33	3		22,24,26,28,30,33,42,44,46,48,50,54,111,114:82		
591856403521	A9	N	514,000	AQ	AQ9_350_Nbg	AQ9-350-Nbg	35277	100	4	65	200	5	33	5				6		AB	12	B	48.3057	11.6276	AQ9_350_Nbg_194			b	2	1,3,4,8,9,31,32,51,52,53	N/O	194		3sp_A9FB_NO				Cp_A9Sued_DeKonfig_2016-01-22.xls				b	2	B1	B1	B		6							WZGx	WZG9-350-Nbg_B1		4	65			33	5		1,3,4,8,9,31,32,51,52,53		
591856403522	A9	N	514,000	AQ	AQ9_350_Nbg	AQ9-350-Nbg	35277	100	4	66	200	5	33	7				6		AB	14	B	48.3057	11.6276	AQ9_350_Nbg_194			b	2	1,3,4,8,9,31,32,51,52,53	N/O	194		3sp_A9FB_NO				Cp_A9Sued_DeKonfig_2016-01-22.xls				b	2	B2	B2	B		6							WZGx	WZG9-350-Nbg_B2		4	66			33	7		1,3,4,8,9,31,32,51,52,53		
