TYPE	NAME	MATCHLEVEL	DE	PROGRAM	TEXT
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		Internet World Expo
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		Internet World Expo
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		Messe
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		Messe
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		Messe/ICM
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		Messe/ICM
CONTENT			wzg.wzgwwq03-mch_wta1_226.m.de		Test
CONTENT			wzg.wzgwwq03-mch_wta2_227.m.de		Test
CONDITION	S-11b-AQWWQ04_Mch				
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		Fujitsu Forum
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		Fujitsu Forum
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		productronica
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		productronica
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		GBTA Conference
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		GBTA Conference
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		ICIS
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		ICIS
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		Heim + Handwerk
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		Heim + Handwerk
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		TRENDSET
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		TRENDSET
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		BAU
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		BAU
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		OOP
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		OOP
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		opti
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		opti
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		ISPO
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		ISPO
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		INHORGENTA
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		INHORGENTA
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		f.re.e
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		f.re.e
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		LOPEC
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		LOPEC
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		PERFORMANCE DAYS
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		PERFORMANCE DAYS
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		OutDoor
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		OutDoor
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		EXPO REAL
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		EXPO REAL
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		Munich Show
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		Munich Show
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		Internationale Handwerksmesse
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		Internationale Handwerksmesse
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		analytica
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		analytica
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		LEIF
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		LEIF
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		IFAT
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		IFAT
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		Laser
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		Laser
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		Pferd International
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		Pferd International
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		automatica
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		automatica
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		eMove 360
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		eMove 360
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		electronica
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		electronica
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		Transport Logistic
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		Transport Logisitc
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		bauma
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		bauma
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		Beauty Forum
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		Beauty Forum
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		Ceramitec
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		Ceramitec
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		FESPA
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		FESPA
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		Intersolar
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		Intersolar
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		exopharm
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		exopharm
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		Internet World Expo
