TYPE	ID	NAME	AREA	MAINROUTE	ALTERNATEROUTE	WWW	ROADELEMENT		
STRATEGIE	S-16a	Messe via mittlerer Ring SÅd		S-16a-M					
									
									
ROUTE	S-16b-M	S-16b-M					554346548		
ROUTE+							576294234		
ROUTE+							783091433		
ROUTE+							770472240		
ROUTE+							770472474		
ROUTE+							576292551		
ROUTE+							812885360		
ROUTE+							576300798		
ROUTE+							52812582		
ROUTE+							83508440	am Moosfeld	
ROUTE+							576271677		
ROUTE+							52808598		
ROUTE+							783483949		
ROUTE+							780359127		
ROUTE+							820600993		
ROUTE+							773086515		
ROUTE+							773011798		
ROUTE+							773011797		
ROUTE+							67628607		
ROUTE+							52805187		
ROUTE+							562821481		
ROUTE+							554333998		
ROUTE+							576300926		
ROUTE+							52805637		
ROUTE+							59403766		
STRATEGIE	S-16b	Messe via mittlerer Ring SÅd		S-16b-M					
									
									
ROUTE	S-16c-M	S-16c-M					554346548		
ROUTE+							576294234		
ROUTE+							783091433		
ROUTE+							770472240		
ROUTE+							770472474		
ROUTE+							576292551		
ROUTE+							812885360		
ROUTE+							576300798		
ROUTE+							52812582		
ROUTE+							83508440		Riem 1
ROUTE+							576271677		
ROUTE+							52808598		
ROUTE+							783483949		
ROUTE+							780359127		
ROUTE+							820600993		
ROUTE+							773086515		
ROUTE+							773011798		
ROUTE+							773011797		
ROUTE+							67628607		
ROUTE+							52805187		
ROUTE+							562821481		
ROUTE+							554333998		
ROUTE+							554333877		
ROUTE+							576300928		
STRATEGIE	S-16c	Messe via mittlerer Ring SÅd		S-16c-M					
									
									
ROUTE	S-16d-M	S-16d-M					554346548		
ROUTE+							576294234		
ROUTE+							783091433		
ROUTE+							770472240		
ROUTE+							770472474		
ROUTE+							576292551		
ROUTE+							812885360		
ROUTE+							576300798		
ROUTE+							52812582		
ROUTE+							83508440		Riem 2
ROUTE+							576271677		
ROUTE+							52808598		
ROUTE+							783483949		
ROUTE+							780359127		
ROUTE+							820600993		
ROUTE+							773086515		
ROUTE+							773011798		
ROUTE+							773011797		
ROUTE+							67628607		
ROUTE+							52805187		
ROUTE+							562821481		
ROUTE+							554333998		
ROUTE+							67628332		
ROUTE+							562772824		
ROUTE+							779118395		
STRATEGIE	S-16d	Messe via mittlerer Ring SÅd		S-16d-M					
