2026-01-09T16:13:45.700106500Z
ID_CLASS	ID_PERM	ID_NAME	TLS_KNOTENNUMMER	TLS_LOC	TLS_DIST	TLS_FG	TLS_DE	FD	TLS_PORT	TLS_SLAVE	TLS_EAK	TLS_EA	TLS_WZGTYP	TLS_ZEICHENSATZ	TLS_ANZEIGEPRINZIP	TLS_HERSTELLER	TLS_TYP	TLS_REF	TLS_FAHRTR	LOC_LANE	LOC_WGS84_COOR_LAT	LOC_WGS84_COOR_LONG	LOC_ID_ASFiNAG	EFH	TLS_IFACEKEY
WVZ	wzg.aq_93_190130_mch_b1_97.m.de	AQ_93_190130_Mch_B1	9316370	36392	18	4	97		200	3	33						2	aq.aq_93_190130_mch.m.de		AS			A93	1																			
WVZ	wzg.aq_93_190130_mch_b2_98.m.de	AQ_93_190130_Mch_B2	9316370	36392	18	4	98		200	3	33						2	aq.aq_93_190130_mch.m.de		F3/F2			A93	1																			
UFD	ude.wud_hk_93_190130_mch_33.m.de	WUD_HK_93_190130_Mch	9316370	36392	18	3	33		200	3	33						61	sst.sst_93_190130_mch.m.de					A93																				
VLT	vlt.bms_93_190130_mch_tuer_1.m.de	BMS_93_190130_Mch_Tuer	9316370	36392	18	6	1		200	3	32						48	sst.sst_93_190130_mch.m.de					A93																				
EQ	mq.mq_93_190130_mch.m.de	MQ_93_190130_Mch	9316370	36392	18	1	0		200	3	32						0						A93																				
MQ	vde.det_93_190130_mch_h1_33.m.de	DET_93_190130_Mch_H1	9316370	36392	18	1	33		200	3	32						0	mq.mq_93_190130_mch.m.de		F1			A93																				
MQ	vde.det_93_190130_mch_h2_34.m.de	DET_93_190130_Mch_H2	9316370	36392	18	1	34		200	3	32						0	mq.mq_93_190130_mch.m.de		F2			A93																				
SST	sst.sst_93_191950_mch.m.de	SST_93_191950_Mch	9316435	36392	83	254	0		200	4	0						0	ib.sst_93_186650_mch.m.de					A93																				
VLT	vlt.bms_93_191950_mch_tuer_1.m.de	BMS_93_191950_Mch_Tuer	9316435	36392	83	6	1		200	4	32						48	sst.sst_93_191950_mch.m.de					A93																				
EQ	mq.mq_93_191950_mch.m.de	MQ_93_191950_Mch	9316435	36392	83	1	0		200	4	32						0						A93																				
MQ	vde.det_93_191950_mch_h2_34.m.de	DET_93_191950_Mch_H2	9316435	36392	83	1	34		200	4	32						0	mq.mq_93_191950_mch.m.de		F2			A93																				
MQ	vde.det_93_191950_mch_h1_33.m.de	DET_93_191950_Mch_H1	9316435	36392	83	1	33		200	4	32						0	mq.mq_93_191950_mch.m.de		F1			A93																				
WVZ	wzg.cluster_aq_93_191950_mch_193.m.de	CLUSTER_AQ_93_191950_Mch	9316435	36392	83	4	193		200	4	33						0						A93																				
AQ	aq.aq_93_191950_mch.m.de	AQ_93_191950_Mch	9316435	36392	83	4	0		200	4	33						1	wzg.cluster_aq_93_191950_mch_193.m.de					A93																				
WVZ	wzg.aq_93_191950_mch_c1_105.m.de	AQ_93_191950_Mch_C1	9316435	36392	83	4	105		200	4	33						3	aq.aq_93_191950_mch.m.de		AS			A93	2																			
WVZ	wzg.aq_93_191950_mch_a2_34.m.de	AQ_93_191950_Mch_A2	9316435	36392	83	4	34		200	4	33						1	aq.aq_93_191950_mch.m.de		F2			A93	0																			
WVZ	wzg.aq_93_191950_mch_c2_106.m.de	AQ_93_191950_Mch_C2	9316435	36392	83	4	106		200	4	33						3	aq.aq_93_191950_mch.m.de		F3/F2			A93	2																			
WVZ	wzg.aq_93_191950_mch_b2_98.m.de	AQ_93_191950_Mch_B2	9316435	36392	83	4	98		200	4	33						2	aq.aq_93_191950_mch.m.de		F3/F2			A93	1																			
WVZ	wzg.aq_93_191950_mch_b1_97.m.de	AQ_93_191950_Mch_B1	9316435	36392	83	4	97		200	4	33						2	aq.aq_93_191950_mch.m.de		AS			A93	1																			
WVZ	wzg.aq_93_191950_mch_a1_33.m.de	AQ_93_191950_Mch_A1	9316435	36392	83	4	33		200	4	33						1	aq.aq_93_191950_mch.m.de		AS			A93	0																			
UFD	ude.wud_hk_93_191950_mch_33.m.de	WUD_HK_93_191950_Mch	9316435	36392	83	3	33		200	4	33						61	sst.sst_93_191950_mch.m.de					A93																				
SST	sst.sst_93_193085_mch.m.de	SST_93_193085_Mch	9316475	36392	123	254	0		200	5	0						0	ib.sst_93_186650_mch.m.de					A93																				
WVZ	wzg.cluster_aq_93_193085_mch_193.m.de	CLUSTER_AQ_93_193085_Mch	9316475	36392	123	4	193		200	5	33						0						A93																				
AQ	aq.aq_93_193085_mch.m.de	AQ_93_193085_Mch	9316475	36392	123	4	0		200	5	33						1	wzg.cluster_aq_93_193085_mch_193.m.de					A93																				
WVZ	wzg.aq_93_193085_mch_b2_98.m.de	AQ_93_193085_Mch_B2	9316475	36392	123	4	98		200	5	33						2	aq.aq_93_193085_mch.m.de		F3/F2			A93	1																			
WVZ	wzg.aq_93_193085_mch_c2_106.m.de	AQ_93_193085_Mch_C2	9316475	36392	123	4	106		200	5	33						3	aq.aq_93_193085_mch.m.de		F3/F2			A93	2																			
WVZ	wzg.aq_93_193085_mch_c1_105.m.de	AQ_93_193085_Mch_C1	9316475	36392	123	4	105		200	5	33						3	aq.aq_93_193085_mch.m.de		AS			A93	2																			
WVZ	wzg.aq_93_193085_mch_b1_97.m.de	AQ_93_193085_Mch_B1	9316475	36392	123	4	97		200	5	33						2	aq.aq_93_193085_mch.m.de		AS			A93	1																			
WVZ	wzg.aq_93_193085_mch_a1_33.m.de	AQ_93_193085_Mch_A1	9316475	36392	123	4	33		200	5	33						1	aq.aq_93_193085_mch.m.de		AS			A93	0																			
WVZ	wzg.aq_93_193085_mch_a2_34.m.de	AQ_93_193085_Mch_A2	9316475	36392	123	4	34		200	5	33						1	aq.aq_93_193085_mch.m.de		F2			A93	0																			
UFD	ude.wud_hk_93_193085_mch_33.m.de	WUD_HK_93_193085_Mch	9316475	36392	123	3	33		200	5	33						61	sst.sst_93_193085_mch.m.de					A93																				
VLT	vlt.bms_93_193085_mch_tuer_1.m.de	BMS_93_193085_Mch_Tuer	9316475	36392	123	6	1		200	5	32						48	sst.sst_93_193085_mch.m.de					A93																				
EQ	mq.mq_93_193085_mch.m.de	MQ_93_193085_Mch	9316475	36392	123	1	0		200	5	32						0						A93																				
MQ	vde.det_93_193085_mch_h2_34.m.de	DET_93_193085_Mch_H2	9316475	36392	123	1	34		200	5	32						0	mq.mq_93_193085_mch.m.de		F2			A93																				
MQ	vde.det_93_193085_mch_h1_33.m.de	DET_93_193085_Mch_H1	9316475	36392	123	1	33		200	5	32						0	mq.mq_93_193085_mch.m.de		F1			A93																				
SST	sst.sst_93_194145_mch.m.de	SST_93_194145_Mch	9316514	36392	162	254	0		200	6	0						0	ib.sst_93_186650_mch.m.de					A93																				
VLT	vlt.bms_93_194145_mch_tuer_33.m.de	BMS_93_194145_Mch_Tuer	9316514	36392	162	6	33		200	6	32						48	sst.sst_93_194145_mch.m.de					A93																				
EQ	mq.mq_93_194150_mch.m.de	MQ_93_194150_Mch	9316514	36392	162	1	0		200	6	32						0						A93																				
MQ	vde.det_93_194150_mch_h1_33.m.de	DET_93_194150_Mch_H1	9316514	36392	162	1	33		200	6	32						0	mq.mq_93_194150_mch.m.de		F1			A93																				
MQ	vde.det_93_194150_mch_h2_34.m.de	DET_93_194150_Mch_H2	9316514	36392	162	1	34		200	6	32						0	mq.mq_93_194150_mch.m.de		F2			A93																				
SST	sst.sst_93_199550_hof.m.de	SST_93_199550_Hof	9306920	36355	40	254	0		200	3	0						0	ib.sst_93_186650_mch.m.de					A93																				
VLT	vlt.bms_93_199550_hof_netz_3.m.de	BMS_93_199550_Hof_Netz	9306920	36355	40	6	3		200	3	32						51	sst.sst_93_199550_hof.m.de					A93																				
VLT	vlt.bms_93_199550_hof_tuer_1.m.de	BMS_93_199550_Hof_Tuer	9306920	36355	40	6	1		200	3	32						48	sst.sst_93_199550_hof.m.de					A93																				
VLT	vlt.bms_93_199550_hof_temp_2.m.de	BMS_93_199550_Hof_Temp	9306920	36355	40	6	2		200	3	32						49	sst.sst_93_199550_hof.m.de					A93																				
EQ	mq.mq_93_199550_hof.m.de	MQ_93_199550_Hof	9306920	36355	40	1	0		200	3	32						0						A93																				
MQ	vde.mq_93_199550_hof_h3_3.m.de	MQ_93_199550_Hof_H3	9306920	36355	40	1	3		200	3	32						0	mq.mq_93_199550_hof.m.de		F3			A93																				
MQ	vde.mq_93_199550_hof_h2_2.m.de	MQ_93_199550_Hof_H2	9306920	36355	40	1	2		200	3	32						0	mq.mq_93_199550_hof.m.de		F2			A93																				
MQ	vde.mq_93_199550_hof_h1_1.m.de	MQ_93_199550_Hof_H1	9306920	36355	40	1	1		200	3	32						0	mq.mq_93_199550_hof.m.de		F1			A93																				
EQ	mq.mq_93_199550_mch.m.de	MQ_93_199550_Mch	9306920	36355	40	1	0		200	3	32						0						A93																				
MQ	vde.mq_93_199550_mch_h1_33.m.de	MQ_93_199550_Mch_H1	9306920	36355	40	1	33		200	3	32						0	mq.mq_93_199550_mch.m.de		F1			A93																				
MQ	vde.mq_93_199550_mch_h2_34.m.de	MQ_93_199550_Mch_H2	9306920	36355	40	1	34		200	3	32						0	mq.mq_93_199550_mch.m.de		F2			A93																				
SST	sst.sst_93_198300_hof.m.de	SST_93_198300_Hof	9306865	36354	241	254	0		200	2	0						0	ib.sst_93_186650_mch.m.de					A93																				
VLT	vlt.bms_93_198300_hof_netz_3.m.de	BMS_93_198300_Hof_Netz	9306865	36354	241	6	3		200	2	32						51	sst.sst_93_198300_hof.m.de					A93																				
VLT	vlt.bms_93_198300_hof_temp_2.m.de	BMS_93_198300_Hof_Temp	9306865	36354	241	6	2		200	2	32						49	sst.sst_93_198300_hof.m.de					A93																				
VLT	vlt.bms_93_198300_hof_tuer_1.m.de	BMS_93_198300_Hof_Tuer	9306865	36354	241	6	1		200	2	32						48	sst.sst_93_198300_hof.m.de					A93																				
EQ	mq.mq_93_198300_hof.m.de	MQ_93_198300_Hof	9306865	36354	241	1	0		200	2	32						0						A93																				
